legacy_row,legacy_accession,legacy_title,legacy_pubmed,match_methods,matched_accessions,matched_count,bridge_status,possibleClassifications,possibleSamplingFrames,discard,reason,notes
64,AJ248539,Direct Submission:,,accession,AJ248539,1,single_exact_match,wild,AFP,,,source for AFP: country is India in 1990's and /isolate looks like polio surveillance EPID (case ID)
65,AJ248540,Direct Submission:,,accession,AJ248540,1,single_exact_match,wild,AFP,,,source for AFP: country is India in 1990's and /isolate looks like polio surveillance EPID (case ID)
66,AJ248541,Direct Submission:,,accession,AJ248541,1,single_exact_match,wild,AFP,,,source for AFP: country is India in 1990's and /isolate looks like polio surveillance EPID (case ID)
67,AJ248542,Direct Submission:,,accession,AJ248542,1,single_exact_match,wild,AFP,,,source for AFP: country is India in 1990's and /isolate looks like polio surveillance EPID (case ID)
68,AJ248543,Direct Submission:,,accession,AJ248543,1,single_exact_match,wild,AFP,,,source for AFP: country is India in 1990's and /isolate looks like polio surveillance EPID (case ID)
69,AJ248544,Direct Submission:,,accession,AJ248544,1,single_exact_match,wild,AFP,,,source for AFP: country is India in 1990's and /isolate looks like polio surveillance EPID (case ID)
70,AJ248545,Direct Submission:,,accession,AJ248545,1,single_exact_match,wild,AFP,,,source for AFP: country is India in 1990's and /isolate looks like polio surveillance EPID (case ID)
71,AJ249036,Genetic recombination in wild-type poliovirus:,12466487,accession;pubmed,AJ248475;AJ248476;AJ248477;AJ248478;AJ248479;AJ248480;AJ248481;AJ248482;AJ248483;AJ248484;AJ248485;AJ248486;AJ248487;AJ248488;AJ248489;AJ248490;AJ248491;AJ248492;AJ248493;AJ248494;AJ248495;AJ248496;AJ248497;AJ248498;AJ248499;AJ248500;AJ248501;AJ248502;AJ248503;AJ248504;AJ248505;AJ248506;AJ248507;AJ248508;AJ248509;AJ248510;AJ248511;AJ248512;AJ248513;AJ248514;AJ248515;AJ248516;AJ248517;AJ248518;AJ248519;AJ248520;AJ248521;AJ248522;AJ248523;AJ248989;AJ248990;AJ248991;AJ248992;AJ248993;AJ248994;AJ248995;AJ248996;AJ248997;AJ248998;AJ248999;AJ249000;AJ249001;AJ249002;AJ249003;AJ249004;AJ249005;AJ249006;AJ249007;AJ249008;AJ249009;AJ249010;AJ249011;AJ249012;AJ249013;AJ249014;AJ249015;AJ249016;AJ249017;AJ249018;AJ249019;AJ249020;AJ249021;AJ249022;AJ249023;AJ249024;AJ249025;AJ249026;AJ249027;AJ249028;AJ249029;AJ249030;AJ249031;AJ249032;AJ249033;AJ249034;AJ249035;AJ249036,97,multiple_exact_matches,wild,AFP,,,
72,AJ249073,Epidemiologie moleculaire des poliovirus de type 1 en Afrique de:l'ouest :,,accession,AJ249073,1,single_exact_match,unknown,AFP,,,
73,AJ277196,Genomic characterization of type 3 polioviruses isolated from:vaccine-associated poliomyelitis cases in Brazil :,7581041,accession;pubmed,AJ277195;AJ277196;AJ277197;AJ277198;AJ277199;AJ277200;AJ277201;AJ277202,8,multiple_exact_matches,vaccineOrigin,unknown,,,"cannot determine case type (AFP, non-polio, healthy) from Genbank entries and cannot locate copy of paper"
74,AJ288081,A highly evolved derivative of the type 2 oral poliovaccine strain:isolated from sewage in Israel: molecular and antigenic :characterization :,,accession,AJ288081,1,single_exact_match,VDPV;wild,environmental;AFP,,,
75,AJ290808,Genomic characterization of type 2 polioviruses isolated from:vaccine-associated cases in Brazil :,8580863,accession;pubmed,AJ290787;AJ290788;AJ290789;AJ290790;AJ290791;AJ290792;AJ290793;AJ290794;AJ290795;AJ290796;AJ290797;AJ290798;AJ290799;AJ290800;AJ290801;AJ290802;AJ290803;AJ290804;AJ290805;AJ290806;AJ290807;AJ290808,22,multiple_exact_matches,vaccineOrigin,unknown,,,"cannot determine case type (AFP, non-polio, healthy) from Genbank entries and cannot locate copy of paper"
76,AJ293918,The vaccine origin of the 1968 epidemic of type 3 poliomyelitis in:Poland :,11112479,accession;pubmed,AJ293918,1,single_exact_match,USOL-D-bac,AFP,,,
77,AJ295189,Molecular identification and typing of enteroviruses isolated from:clinical specimens :,12454151,accession;pubmed,AJ295187;AJ295188;AJ295189;AJ295190,4,multiple_exact_matches,unknown,unknown,,,clinical specimens from hospital freezer
78,AJ400336,Type 2 poliovirus recombinants isolated from vaccine-associated:cases and from healthy contacts in Brazil :,8886095,accession;pubmed,AJ400321;AJ400322;AJ400323;AJ400324;AJ400325;AJ400326;AJ400327;AJ400328;AJ400329;AJ400330;AJ400331;AJ400332;AJ400333;AJ400334;AJ400335;AJ400336,16,multiple_exact_matches,vaccineOrigin,unknown,,,"cannot determine case type (AFP, non-polio, healthy) from Genbank entries and cannot locate copy of paper"
79,AJ430385,Characterization of CHAT and Cox type 1 live-attenuated poliovirus:vaccine strains :,11991962,accession;pubmed,AJ416942;AJ430385,2,multiple_exact_matches,CHAT;Cox,CHAT;Cox,,,
80,AJ512792,Presence of poliovirus type 1 in working stocks of typed human:rhinoviruses: implications for laboratory containment :,,accession,AJ512792,1,single_exact_match,,,yes,unknown lab history,
81,AJ544513,Characterisation of a type 2 poliovirus strain from long-term:excretor with CVID immunodeficiency :,,accession,AJ544513,1,single_exact_match,iVDPV,healthy,,,"early isolate from ""Birmingham man"""
82,AJ635238,Genomic mutations in oral poliovirus vaccine strains: implications:for the eradication of poliovirus :,,accession,AJ635238,1,single_exact_match,iVDPV;vaccineOrigin,unknown,,,
