legacy_row,legacy_accession,legacy_title,legacy_pubmed,match_methods,matched_accessions,matched_count,bridge_status,possibleClassifications,possibleSamplingFrames,discard,reason,notes
293,KY884693,Polio and measles down the drain: Environmental Enterovirus:Surveillance in the Netherlands_ 2005-2015 :,28432101,accession;pubmed,KY865753;KY865754;KY865755;KY865756;KY865757;KY865758;KY865759;KY865760;KY865761;KY865762;KY865763;KY865764;KY865765;KY865766;KY865767;KY865768;KY865769;KY865770;KY865771;KY865772;KY865773;KY865774;KY865775;KY865776;KY865777;KY865778;KY865779;KY865780;KY865781;KY865782;KY865783;KY865784;KY865785;KY865786;KY865787;KY865788;KY865789;KY865790;KY865791;KY865792;KY865793;KY865794;KY865795;KY865796;KY865797;KY865798;KY865799;KY865800;KY865801;KY865802;KY865803;KY865804;KY865805;KY865806;KY865807;KY865808;KY865809;KY865810;KY865811;KY865812;KY865813;KY865814;KY865815;KY865816;KY865817;KY865818;KY865819;KY865820;KY865821;KY865822;KY865823;KY865824;KY865825;KY865826;KY865827;KY865828;KY865829;KY865830;KY865831;KY865832;KY865833;KY865834;KY865835;KY865836;KY865837;KY865838;KY865839;KY865840;KY865841;KY865842;KY865843;KY865844;KY865845;KY865846;KY865847;KY865848;KY865849;KY865850;KY865851;KY865852;KY865853;KY865854;KY865855;KY865856;KY865857;KY865858;KY865859;KY865860;KY865861;KY865862;KY865863;KY865864;KY865865;KY865866;KY865867;KY865868;KY865869;KY865870;KY865871;KY865872;KY865873;KY865874;KY865875;KY865876;KY865877;KY865878;KY865879;KY865880;KY865881;KY865882;KY865883;KY865884;KY865885;KY865886;KY865887;KY865888;KY865889;KY865890;KY865891;KY865892;KY865893;KY865894;KY865895;KY865896;KY865897;KY865898;KY865899;KY865900;KY865901;KY865902;KY865903;KY865904;KY865905;KY865906;KY865907;KY865908;KY865909;KY865910;KY865911;KY865912;KY865913;KY865914;KY865915;KY865916;KY865917;KY865918;KY865919;KY865920;KY865921;KY865922;KY865923;KY865924;KY865925;KY865926;KY865927;KY865928;KY865929;KY865930;KY865931;KY865932;KY865933;KY865934;KY865935;KY865936;KY865937;KY865938;KY865939;KY865940;KY865941;KY865942;KY865943;KY865944;KY865945;KY865946;KY865947;KY865948;KY865949;KY865950;KY865951;KY865952;KY865953;KY865954;KY865955;KY865956;KY865957;KY865958;KY865959;KY865960;KY865961;KY865962;KY865963;KY865964;KY865965;KY865966;KY865967;KY865968;KY865969;KY865970;KY865971;KY865972;KY865973;KY865974;KY865975;KY865976;KY865977;KY865978;KY865979;KY865980;KY865981;KY865982;KY865983;KY865984;KY865985;KY865986;KY865987;KY865988;KY865989;KY865990;KY865991;KY865992;KY865993;KY865994;KY865995;KY865996;KY865997;KY865998;KY865999;KY866000;KY866001;KY866002;KY866003;KY866004;KY866005;KY866006;KY866007;KY866008;KY866009;KY866010;KY866011;KY866012;KY866013;KY866014;KY866015;KY866016;KY866017;KY866018;KY866019;KY866020;KY866021;KY866022;KY866023;KY866024;KY866025;KY866026;KY866027;KY866028;KY866029;KY866030;KY866031;KY866032;KY866033;KY866034;KY866035;KY866036;KY866037;KY866038;KY866039;KY866040;KY866041;KY866042;KY866043;KY866044;KY866045;KY866046;KY866047;KY866048;KY866049;KY866050;KY866051;KY866052;KY866053;KY866054;KY866055;KY866056;KY866057;KY866058;KY866059;KY866060;KY866061;KY866062;KY866063;KY866064;KY866065;KY866066;KY866067;KY866068;KY866069;KY866070;KY866071;KY866072;KY866073;KY866074;KY866075;KY866076;KY866077;KY866078;KY866079;KY866080;KY866081;KY866082;KY866083;KY866084;KY866085;KY866086;KY866087;KY866088;KY866089;KY866090;KY866091;KY866092;KY866093;KY866094;KY866095;KY866096;KY866097;KY866098;KY866099;KY866100;KY866101;KY866102;KY866103;KY866104;KY866105;KY866106;KY866107;KY866108;KY866109;KY866110;KY866111;KY866112;KY866113;KY866114;KY866115;KY866116;KY866117;KY866118;KY866119;KY866120;KY866121;KY866122;KY866123;KY866124;KY866125;KY866126;KY866127;KY866128;KY866129;KY866130;KY866131;KY866132;KY866133;KY866134;KY866135;KY866136;KY866137;KY866138;KY866139;KY866140;KY866141;KY866142;KY866143;KY866144;KY866145;KY866146;KY866147;KY866148;KY866149;KY866150;KY866151;KY866152;KY866153;KY866154;KY866155;KY866156;KY866157;KY866158;KY866159;KY866160;KY866161;KY866162;KY866163;KY866164;KY866165;KY866166;KY866167;KY866168;KY866169;KY866170;KY866171;KY866172;KY866173;KY866174;KY866175;KY866176;KY866177;KY866178;KY866179;KY866180;KY866181;KY866182;KY866183;KY866184;KY866185;KY866186;KY866187;KY866188;KY866189;KY866190;KY866191;KY866192;KY866193;KY866194;KY866195;KY866196;KY866197;KY866198;KY866199;KY866200;KY866201;KY866202;KY866203;KY866204;KY866205;KY866206;KY866207;KY866208;KY866209;KY866210;KY866211;KY866212;KY866213;KY866214;KY866215;KY866216;KY866217;KY866218;KY866219;KY866220;KY866221;KY866222;KY866223;KY866224;KY866225;KY866226;KY866227;KY866228;KY866229;KY866230;KY866231;KY866232;KY866233;KY866234;KY866235;KY866236;KY866237;KY866238;KY866239;KY866240;KY866241;KY866242;KY866243;KY866244;KY866245;KY866246;KY866247;KY866248;KY866249;KY866250;KY866251;KY866252;KY866253;KY866254;KY866255;KY866256;KY866257;KY866258;KY866259;KY866260;KY866261;KY866262;KY866263;KY866264;KY866265;KY866266;KY866267;KY866268;KY866269;KY866270;KY866271;KY866272;KY866273;KY866274;KY866275;KY866276;KY866277;KY866278;KY866279;KY866280;KY866281;KY866282;KY866283;KY866284;KY866285;KY866286;KY866287;KY866288;KY866289;KY866290;KY866291;KY866292;KY866293;KY866294;KY866295;KY866296;KY866297;KY866298;KY866299;KY866300;KY866301;KY866302;KY866303;KY866304;KY866305;KY866306;KY866307;KY866308;KY866309;KY866310;KY866311;KY866312;KY866313;KY866314;KY866315;KY866316;KY866317;KY866318;KY866319;KY866320;KY866321;KY866322;KY866323;KY866324;KY866325;KY866326;KY866327;KY866328;KY866329;KY866330;KY866331;KY866332;KY866333;KY866334;KY866335;KY866336;KY866337;KY866338;KY866339;KY866340;KY866341;KY866342;KY866343;KY866344;KY866345;KY866346;KY866347;KY866348;KY866349;KY866350;KY866351;KY866352;KY866353;KY866354;KY866355;KY866356;KY866357;KY866358;KY866359;KY866360;KY866361;KY866362;KY866363;KY866364;KY866365;KY866366;KY866367;KY866368;KY866369;KY866370;KY866371;KY866372;KY866373;KY866374;KY866375;KY866376;KY866377;KY866378;KY866379;KY866380;KY866381;KY866382;KY866383;KY866384;KY866385;KY866386;KY866387;KY866388;KY866389;KY866390;KY866391;KY866392;KY866393;KY866394;KY866395;KY866396;KY866397;KY866398;KY866399;KY866400;KY866401;KY866402;KY866403;KY866404;KY866405;KY866406;KY866407;KY866408;KY866409;KY866410;KY866411;KY866412;KY866413;KY866414;KY866415;KY866416;KY866417;KY866418;KY866419;KY866420;KY866421;KY866422;KY866423;KY866424;KY866425;KY866426;KY866427;KY866428;KY866429;KY866430;KY866431;KY866432;KY866433;KY866434;KY866435;KY866436;KY866437;KY866438;KY866439;KY866440;KY866441;KY866442;KY866443;KY866444;KY866445;KY866446;KY866447;KY866448;KY866449;KY866450;KY866451;KY866452;KY866453;KY866454;KY866455;KY866456;KY866457;KY866458;KY866459;KY866460;KY866461;KY866462;KY866463;KY866464;KY866465;KY866466;KY866467;KY866468;KY866469;KY866470;KY866471;KY866472;KY866473;KY866474;KY866475;KY866476;KY866477;KY866478;KY866479;KY866480;KY866481;KY866482;KY866483;KY866484;KY866485;KY866486;KY866487;KY866488;KY866489;KY866490;KY866491;KY866492;KY866493;KY866494;KY866495;KY866496;KY866497;KY866498;KY866499;KY866500;KY866501;KY866502;KY866503;KY866504;KY866505;KY866506;KY866507;KY866508;KY866509;KY866510;KY866511;KY866512;KY866513;KY866514;KY866515;KY866516;KY866517;KY866518;KY866519;KY866520;KY866521;KY866522;KY866523;KY866524;KY866525;KY866526;KY866527;KY866528;KY866529;KY866530;KY866531;KY866532;KY866533;KY866534;KY866535;KY866536;KY866537;KY866538;KY866539;KY866540;KY866541;KY866542;KY866543;KY866544;KY866545;KY866546;KY866547;KY866548;KY866549;KY866550;KY866551;KY866552;KY866553;KY866554;KY866555;KY866556;KY866557;KY866558;KY866559;KY866560;KY866561;KY866562;KY866563;KY866564;KY866565;KY866566;KY866567;KY866568;KY866569;KY866570;KY866571;KY866572;KY866573;KY866574;KY866575;KY866576;KY866577;KY866578;KY866579;KY866580;KY866581;KY866582;KY866583;KY866584;KY866585;KY866586;KY866587;KY866588;KY866589;KY866590;KY866591;KY866592;KY866593;KY866594;KY866595;KY866596;KY866597;KY866598;KY866599;KY866600;KY866601;KY866602;KY866603;KY866604;KY866605;KY866606;KY866607;KY866608;KY866609;KY866610;KY866611;KY866612;KY866613;KY866614;KY866615;KY866616;KY866617;KY866618;KY866619;KY866620;KY866621;KY866622;KY866623;KY866624;KY866625;KY866626;KY866627;KY866628;KY866629;KY866630;KY866631;KY866632;KY866633;KY866634;KY866635;KY866636;KY866637;KY866638;KY866639;KY866640;KY866641;KY866642;KY866643;KY866644;KY866645;KY866646;KY866647;KY866648;KY866649;KY866650;KY866651;KY866652;KY866653;KY866654;KY866655;KY866656;KY866657;KY866658;KY866659;KY866660;KY866661;KY866662;KY866663;KY866664;KY884680;KY884681;KY884682;KY884683;KY884684;KY884685;KY884686;KY884687;KY884688;KY884689;KY884690;KY884691;KY884692;KY884693,926,multiple_exact_matches,unknown,environmental,,,
294,L23848,Poliovirus type 3/Saukett: antigenic and structural correlates of:sequence variation in the capsid proteins :,8116248,accession;pubmed,L23844;L23845;L23846;L23847;L23848,5,multiple_exact_matches,Saukett,Saukett,,,
295,L76412,Genetic diversity and rapid evolution of poliovirus in human hosts:,1318186,accession;pubmed,L76393;L76402;L76403;L76404;L76409;L76412,6,multiple_exact_matches,wild,AFP,,,
296,L76413,Genetic variation in vivo and proposed functional domains of the 5':noncoding region of poliovirus RNA :,1323698,accession;pubmed,L76394;L76405;L76406;L76407;L76408;L76410;L76411;L76413,8,multiple_exact_matches,wild,AFP,,,
297,LC120952,Detection of enteroviruses from healthy children_ Yunnan province_:China_ 2014-2015 :,,accession,LC120952,1,single_exact_match,unknown,healthy,,,
298,LC143376,Surveillance of human enteric viruses isolated from raw sewage and:clinical cases in Toyama Prefecture_ Japan_ from 2006 to 2013 :,,accession,LC143376,1,single_exact_match,vaccineOrigin,healthy;environmental,,,
299,LC201513,Detection of enteroviruses from healthy children_ Yunnan Provine_:2016 (Part 2) :,,accession,LC201513,1,single_exact_match,unknown,healthy,,,
300,M12197,Mapping of sequences required for mouse neurovirulence of:poliovirus type 2 Lansing :,3003384,accession;pubmed,M12197,1,single_exact_match,Lansing,Lansing,,,
301,M14761,The mechanism of RNA recombination in poliovirus:,3021340,accession;pubmed,M14761,1,single_exact_match,,,yes,Lansing fragment,
302,M17494,Poliovirus replication proteins: RNA sequence encoding P3-1b and:the sites of proteolytic processing :,6267593,accession;pubmed,M17494,1,single_exact_match,,,yes,Mahoney clone,
303,M19629,Geographic distribution of wild poliovirus type 1 genotypes:,2821678,accession;pubmed,M19572;M19573;M19574;M19575;M19576;M19577;M19578;M19579;M19580;M19581;M19582;M19583;M19584;M19585;M19586;M19587;M19588;M19589;M19590;M19591;M19592;M19593;M19594;M19595;M19596;M19597;M19598;M19599;M19600;M19601;M19602;M19603;M19604;M19605;M19606;M19607;M19608;M19609;M19610;M19611;M19612;M19613;M19614;M19615;M19616;M19617;M19618;M19619;M19620;M19621;M19622;M19623;M19624;M19625;M19626;M19627;M19628;M19629;M19630;M19631;M19632;M19633,62,multiple_exact_matches,wild,AFP,,,
304,M29183,Mapping and sequencing of RNAs without recourse to molecular :cloning: application to RNAs of the Sabin 1 strain of poliovirus:and its defective interfering particles :,3007445,accession;pubmed,M29182;M29183,2,multiple_exact_matches,,,yes,lab fragment,
305,M37321 M36161 M36162,Nucleotide sequence from neurovirulent and attenuated strains of:type 3 poliovirus :,6330844,pubmed,M37321,1,single_exact_match,,,yes,Sabin 3 clone,
306,NC_002058 NC_001428 NC_014336,Polypyrimidine tract-binding protein stimulates the poliovirus IRES:by modulating eIF4G binding :,20859255,pubmed,NC_002058,1,single_exact_match,,,yes,Mahoney 5' NCR,
307,S65450,Functional and genetic plasticities of the poliovirus genome: :quasi-infectious RNAs modified in the 5'-untranslated region yield:a variety of pseudorevertants :,8396686,accession;pubmed,S65446;S65447;S65449;S65450,4,multiple_exact_matches,,,yes,engineered fragments,
308,V01132 J02284,Location and primary structure of a major antigenic site for:poliovirus neutralization :,6186919,pubmed,V01132,1,single_exact_match,,,yes,Leon segment,
309,V01148,Sequence of 1060 3'-terminal nucleotides of poliovirus RNA as:determined by a modification of the dideoxynucleotide method :,6158042,accession;pubmed,NC_002058;V01148;V01149,3,multiple_exact_matches,,,yes,redundant with more modern entries,
310,V01150 J02282 J02285 J02286 V01133,Carboxy-terminal analysis of poliovirus proteins: termination of:poliovirus RNA translation and location of unique poliovirus :polyprotein cleavage sites :,6283138,pubmed,NC_002058;V01148;V01149;V01150,4,multiple_exact_matches,,,yes,redundant with more modern entries,
311,V01540,Nucleic acid sequence of the region of the genome encoding capsid:protein VP1 of neurovirulent and attenuated type 3 polioviruses :,6311539,accession;pubmed,V01540,1,single_exact_match,,,yes,redundant with more modern entries,
312,X00596,Complete nucleotide sequences of all three poliovirus serotype :genomes. Implication for genetic relationship_ gene function and:antigenic determinants :,6202874,accession;pubmed,X00595;X00596,2,multiple_exact_matches,,,yes,redundant with more modern entries,
313,X00925 K00043,The nucleotide sequence of poliovirus type 3 leon 12 a1b::comparison with poliovirus type 1 :,6310508,pubmed,X00925,1,single_exact_match,,,yes,redundant with more modern entries,
314,X04468,The nucleotide sequence of a type 3 poliovirus isolated during a:recent outbreak of poliomyelitis in Finland :,3020156,accession;pubmed,X04468,1,single_exact_match,wild,AFP,,,
315,X70507,[Probable compact structure of a cis-active translation element in:the 5'-untranslated region of the enterovirus and rhinovirus :genome] :,1328850,accession;pubmed,X70506;X70507,2,multiple_exact_matches,,,yes,fragments,
